system_id,system_name,initial_classification,framework,requirement_id,requirement_label,question,expected_artifact,evidence_path,evidence_owner,evidence_version,reviewed_on,evidence_status,gate_status,notes
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART14_HUMAN_OVERSIGHT,Art. 14 · supervisión humana,¿Hay revisión humana efectiva cuando el sistema influye en una decisión relevante?,human_oversight_playbook.md,output/human_oversight_playbook.md,owner-ops,0.1.0,2026-06-07,partial,condición,falta prueba de escalado
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART15_QUALITY_ROBUSTNESS,"Art. 15 · precisión, robustez y seguridad técnica","¿Hay evals, SLO, regresiones, appsec gate y monitorización?",eval_and_robustness_report.md,output/eval_and_robustness_report.md,owner-eval,0.1.0,2026-06-07,partial,condición,falta eval por subgrupos y umbral de regresión
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART17_QMS,Art. 17 · sistema de calidad,"¿Cambios, proveedores, evidencias y acciones correctivas están controlados?",change_control_record.md,output/change_control_record.md,owner-quality,0.1.0,2026-06-07,accepted,cerrado,cambio de modelo prompt e índice cubiertos
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART27_FRIA,Art. 27 · evaluación de impacto cuando aplique,¿El despliegue necesita evaluación de impacto sobre derechos fundamentales?,fria_precheck.md,output/fria_precheck.md,owner-governance,0.0.0,2026-06-07,missing,condición,pendiente de revisión por deployer
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART72_POST_MARKET,Art. 72 · seguimiento postdespliegue,"¿Se monitoriza calidad, seguridad, cambios, incidencias y retirada?",post_deployment_monitoring_plan.md,,operations_owner,,,missing,condición,sin evidencia registrada
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,GDPR,GDPR_DPIA,DPIA/EIPD y minimización,"¿El tratamiento de datos personales tiene finalidad, base, minimización, retención y derechos?",dpia_precheck.md,../c02-privacy-dpia/output/dpia_precheck.md,owner-privacy,0.2.0,2026-06-07,partial,condición,falta decisión formal de retención
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,NIST AI RMF,NIST_GOVERN_MAP_MEASURE_MANAGE,"Govern, Map, Measure, Manage","¿La decisión está gobernada, mapeada, medida y gestionada con evidencias?",ai_rmf_crosswalk.md,output/article_to_artifact_crosswalk.csv,owner-governance,0.1.0,2026-06-07,accepted,cerrado,crosswalk de gobierno y medición
internal_coding_helper,Asistente interno de código,gobernanza_y_transparencia,ISO/IEC 42001,AIMS_SCOPE,Alcance del sistema de gestión de IA,"¿Qué sistemas, roles, datos, proveedores y entornos cubre el AIMS?",iso42001_aims_scope.md,output/iso42001_aims_scope.md,owner-governance,0.1.0,2026-06-07,accepted,cerrado,alcance incluye herramientas internas de productividad
internal_coding_helper,Asistente interno de código,gobernanza_y_transparencia,NIST AI RMF,AI_INVENTORY,Inventario de sistemas de IA,"¿Sabemos qué sistemas existen, quién los opera y qué versión está viva?",ai_system_register.csv,output/ai_system_register.csv,equipo-ingenieria,0.1.0,2026-06-07,accepted,cerrado,inventario generado por este kit
internal_coding_helper,Asistente interno de código,gobernanza_y_transparencia,AI Act,AIACT_ART15_QUALITY_ROBUSTNESS,"Art. 15 · precisión, robustez y seguridad técnica","¿Hay evals, SLO, regresiones, appsec gate y monitorización?",eval_and_robustness_report.md,output/eval_and_robustness_report.md,owner-eval,0.2.0,2026-06-07,accepted,cerrado,pruebas de calidad y permisos de repositorio
internal_coding_helper,Asistente interno de código,gobernanza_y_transparencia,AI Act,AIACT_ART72_POST_MARKET,Art. 72 · seguimiento postdespliegue,"¿Se monitoriza calidad, seguridad, cambios, incidencias y retirada?",post_deployment_monitoring_plan.md,output/change_control_record.md,owner-ops,0.1.0,2026-06-07,accepted,cerrado,revisiones mensuales de cambios
internal_coding_helper,Asistente interno de código,gobernanza_y_transparencia,NIST AI RMF,NIST_GOVERN_MAP_MEASURE_MANAGE,"Govern, Map, Measure, Manage","¿La decisión está gobernada, mapeada, medida y gestionada con evidencias?",ai_rmf_crosswalk.md,output/article_to_artifact_crosswalk.csv,owner-governance,0.1.0,2026-06-07,accepted,cerrado,crosswalk de gobierno y medición
